,name,birth,incoming_links,outgoing_links,page,latitude,longitude
204,Augustine of Hippo, (354–430),Cyprian:Sallust:Lucan:Lactantius:Hilary of Poitiers:Socrates:Optatus:Anthony:Quintilian:Aristotle:Arnobius:Terence:Virgil:Monica:Ambrose:Cicero:Ticonius:Plato:Seneca the Younger:Stoicism:Plotinus:Paul:Horace:Victorinus:Ambrosiaster:Anaximander:,Western philosophy:Catholic theology:Protestant theology:,/wiki/Augustine_of_Hippo,FILL,FILL
205,Teichmüller,,,Rudolf Christoph Eucken:,/wiki/Gustav_Teichm%C3%BCller,52.267,10.517
206,Walter Benjamin, (1892–1940),Eric Gutkind:Kabbalah:Buber:Marx:Hölderlin:Brecht:Strauss:Bachofen:Novalis:Ludwig Klages:Rickert:Baudelaire:Lukács:Proust:Scholem:Kafka:Adorno:,Perret:Löwy:Derrida:Arendt:Sontag:Agamben:Nirenberg:Scholem:Taussig:Buck-Morss:Žižek:Adorno:,/wiki/Walter_Benjamin,52.52,13.405
207,Johann Georg Hamann, (1730–1788),Knutzen:Luther:Hume:William of Ockham:Henry VIII:Calvin:,Kierkegaard:Hegel:Jacobi:Kraus:Herder:Schelling:Milbank:Berlin:Wittgenstein:Goethe:,/wiki/Johann_Georg_Hamann,54.71667,20.51667
208,Maurras,,,Maurice Blanchot:,/wiki/Charles_Maurras,43.4053,5.0475
209,Mikhail Bakhtin, (1895–1975),Immanuel Kant:Fyodor Dostoyevsky:Søren Kierkegaard:Charles Darwin:Max Scheler:Ernst Cassirer:Karl Marx:Sigmund Freud:F. F. Zelinsky:Hermann Cohen:Friedrich Nietzsche:,Tzvetan Todorov:Julia Kristeva:,/wiki/Mikhail_Bakhtin,52.96861,36.06944
210,Amerigo Vespucci,,,Thomas More:,/wiki/Amerigo_Vespucci,43.783,11.25
211,Edgar S. Brightman, (1884–1953),William Ernest Hocking:Borden Parker Bowne:,L. Harold DeWolf:,/wiki/Edgar_S._Brightman,42.155,-71.00917
212,György Márkus,,,Ágnes Heller:,/wiki/Gy%C3%B6rgy_M%C3%A1rkus,47.4925,19.05139
213,Timothy Williamson, (born 1955),,Jason Stanley:John Hawthorne:,/wiki/Timothy_Williamson,59.85806,17.64472
