,name,birth,incoming_links,outgoing_links,page,latitude,longitude,births
44,St. Maximus the Confessor,,,Johannes Scotus Eriugena:,/wiki/Maximus_the_Confessor,32.8449,35.7926,AD 0580-11-01 00:00:00
45,Karel Kosík, (1926–2003),Martin Heidegger:Karl Marx:Edmund Husserl:Georg Lukács:,reception theory:,/wiki/Karel_Kos%C3%ADk,50.083,14.417,AD 1926-06-26 00:00:00
46,Roger Sessions,,,Stanley Cavell:,/wiki/Roger_Sessions,FILL,FILL,FILL
47,Ludwig Andreas Feuerbach, (1804–1872),Hegel:Jacobi:Daub:Luther:Spinoza:Böhme:Schleiermacher:,Nietzsche:Buber:Marx:Darwin:Wagner:Freud:Malaka:Bauer:Engels:Stirner:,/wiki/Ludwig_Andreas_Feuerbach,48.53972,12.15083,AD 1804-07-28 00:00:00
48,Warren,,,Lysander Spooner:,/wiki/Josiah_Warren,42.35806,-71.06361,AD 1798-06-26 00:00:00
49,Francis Place,,,John Stuart Mill:,/wiki/Francis_Place,FILL,FILL,FILL
50,Luce Irigaray, (born 1930),Jacques Derrida:Martin Heidegger:Sigmund Freud:Emmanuel Levinas:Jacques Lacan:Maurice Merleau-Ponty:,Catherine Malabou:Elizabeth Grosz:Judith Butler:,/wiki/Luce_Irigaray,50.5,3.65,AD 1930-05-03 00:00:00
51,Theaetetus,,,Plato:,/wiki/Theaetetus_(mathematician),FILL,FILL,FILL
52,Leo Strauss, (1899–1973),Oakeshott:Gierke:Lucretius:Spengler:Cassirer:Abarbanel:Al Farabi:Löwith:Aristotle:Dubnow:Kojève:Collingwood:Buber:Shestov:Barth:Thucydides:Tocqueville:Grene:Guttmann:Winckelmann:Comte:Riezler:Saadia Gaon:Heidegger:Leibowitz:Locke:Massignon:Talmud:Cassuto:Otto:Mendelssohn:Lessing:Durkheim:Reinhardt:Nietzsche:Hegel:Voegelin:al-Razi:Klein:Daube:Livy:Philo:Tacitus:Zeller:Barker:Spinoza:Rosenzweig:More:Glatzer:Hebrew Bible:Scholem:Kant:Maimonides:Cicero:Talmon:Plato:Aquinas:Founding Fathers:Altmann:Xenophon:Schmitt:Weber:Halevi:Hobbes:Socrates:Rousseau:Avicenna:Machiavelli:Husserl:Aristophanes:Montesquieu:Tawney:Goethe:Jacobi:Ebbinghaus:Cohen:Krauss:,Pangle:Wolfowitz:Wolin:Stoner:Lilla:Gildin:Blumenberg:Thomas:Fortin:Kojève:Kennington:Galston:Grant:Catherine Zuckert:Orwin:Liu:Riezler:Rorty:Pippin:Anastaplo:Goldwin:Davis:Bénéton:Harold Bloom:Gottfried:Ryn:Cropsey:Banfield:Arkes:Brann:Motzkin:Mansfield:Jonas:Mahdi:Arnhart:West:Kristol:Voegelin:Shell:Storing:Adler:Husain:Schall:Bellow:fr:Dry:Lefort:Michael Zuckert:Franco:Cantor:Butterworth:Allan Bloom:Meier:Masters:Rosen:Scholem:Velkley:Aron:Burger:Steiner:Manent:Pocock:Dannhauser:Fackenheim:Shulsky:Benjamin:Levin:Jaffa:Hitchens:Gan:Brague:Schmitt:Lerner:Pines:Drury:Anderson:Speier:Parens:Smith:Scruton:Berkowitz:de:Kinzel:Mendes-Flohr:Gadamer:Fukuyama:Benedict XVI:Lacan:McKeon:Momigliano:Bluhm:Tarcov:Berns:Hassner:Nussbaum:Hancock:Lampert:Žižek:Benardete:Novak:,/wiki/Leo_Strauss,50.817,8.917,AD 1899-09-20 00:00:00
53,Chekhov,,,Lev Shestov:,/wiki/Anton_Chekhov,47.217,38.917,AD 1860-01-29 00:00:00
54,Marquis de Lafayette,,,John Henry Newman:,"/wiki/Gilbert_du_Motier,_Marquis_de_Lafayette",45.1594,3.5811,AD 1757-09-06 00:00:00
55,Ernest Nagel, (1901–1985),John Dewey:Morris Raphael Cohen:Rudolf Carnap:,D. Hofstadter:H. Kyburg:M. Bunge:I. Levi:P. Suppes:,/wiki/Ernest_Nagel,48.75472,17.83083,AD 1901-11-16 00:00:00
56,Christian Hermann Weisse, (1801–1866),Georg Wilhelm Friedrich Hegel:Immanuel Hermann Fichte:Friedrich Wilhelm Joseph Schelling:,Hermann Lotze:,/wiki/Christian_Hermann_Weisse,51.333,12.383,AD 1801-08-10 00:00:00
57,Shelly Kagan,,,Derek Parfit:,/wiki/Shelly_Kagan,,,AD 1956-01-01 00:00:00
58,Christian Wolff (philosopher), (1679–1754),Zhu Xi:Gottfried Wilhelm Leibniz:Ehrenfried Walther von Tschirnhaus:Wang Yangming:René Descartes:Confucius:Baruch Spinoza:,Arthur Schopenhauer:de:Immanuel Kant:Johann Heinrich Samuel Formey:Søren Kierkegaard:Georg Friedrich Meier:Johann Peter Reusch:Georg Bernhard Bilfinger:Mikhail Lomonosov:Anton Wilhelm Amo:Johann Christoph Gottsched:Johannes Nikolaus Tetens:Emer de Vattel:Moses Mendelssohn:Alexander Gottlieb Baumgarten:Martin Knutzen:Adam Weishaupt:Michael Christoph Hanow:,/wiki/Christian_Wolff_(philosopher),51.11,17.0325,AD 1679-01-24 00:00:00
59,Ibn Barrajan,,,Ibn Arabi:,/wiki/Ibn_Barrajan,37.3833,-5.9965,FILL
